source	strategy	true_matches	recovered_matches	candidate_recall_%	avg_candidates	median_candidates	max_candidates
S2	name_norm	16752	3644	21.75	0.83	0.0	29
S2	name_compact	16752	3848	22.97	0.87	0.0	29
S2	name_prefix_3	16752	13135	78.41	607.44	389.0	4615
S2	name_prefix_5	16752	12660	75.57	277.26	45.0	3173
S2	name_prefix_7	16752	11823	70.58	155.31	7.0	3172
S2	name_first_token	16752	12361	73.79	267.03	93.0	4101
S2	address_prefix_5	16752	7973	47.59	222.94	2.0	9835
S2	address_prefix_8	16752	7419	44.29	34.47	1.0	2706
S2	address_first_token	16752	8791	52.48	1223.02	82.0	16710
S3	name_norm	17815	3929	22.05	0.87	0.0	24
S3	name_compact	17815	4105	23.04	0.91	0.0	24
S3	name_prefix_3	17815	13653	76.64	636.83	467.5	5236
S3	name_prefix_5	17815	13099	73.53	286.57	47.0	3137
S3	name_prefix_7	17815	12031	67.53	155.24	7.0	3135
S3	name_first_token	17815	12784	71.76	282.94	90.0	5039
S3	address_prefix_5	17815	8340	46.81	198.61	2.0	8784
S3	address_prefix_8	17815	7647	42.92	20.59	1.0	1632
S3	address_first_token	17815	9429	52.93	1131.05	67.0	15487
